55 30
39 17 196
6 17 167
37 39 92
48 39 71
41 6 152
46 48 125
24 39 6
33 48 187
12 39 133
55 46 116
23 46 80
28 41 38
36 12 163
54 37 118
22 36 159
29 39 69
45 24 138
21 45 22
9 37 18
50 9 191
26 23 155
3 55 120
40 46 192
2 9 57
38 37 175
30 36 137
10 24 155
51 3 144
7 28 108
44 28 184
42 7 118
25 44 139
47 46 158
19 9 186
14 10 20
31 50 104
5 26 177
52 10 178
8 3 185
20 6 25
15 20 78
27 23 74
43 50 43
34 44 67
35 10 45
13 54 115
1 2 2
49 47 82
11 37 146
4 21 38
53 24 42
32 28 161
18 33 90
16 30 68
17 28 26
0 0 0
460 193
134 254 29
127 254 144
165 254 135
380 127 149
152 134 134
393 254 165
163 165 82
308 134 93
459 308 54
37 163 7
41 254 145
189 37 76
208 308 150
460 393 74
255 163 34
166 254 11
330 127 55
287 166 48
430 208 163
360 393 25
136 41 87
196 165 174
146 254 62
272 208 167
3 127 8
327 165 31
337 3 30
288 272 49
176 287 36
311 337 178
120 41 23
83 430 15
66 272 160
378 254 42
262 134 199
73 330 108
389 327 161
89 152 184
192 41 130
426 262 50
24 288 184
56 146 26
161 255 160
72 136 114
109 330 33
117 72 47
265 360 67
168 337 63
173 163 133
32 192 88
80 89 142
221 327 149
65 120 80
384 56 140
158 3 103
91 460 92
379 41 7
9 83 15
210 3 135
429 91 123
410 287 131
325 327 34
319 330 116
61 426 5
85 325 68
336 337 64
112 360 152
233 208 50
116 378 15
239 210 196
278 308 165
160 32 175
241 278 192
193 221 122
206 91 38
223 161 170
126 163 112
243 37 51
428 241 19
374 72 141
174 66 130
363 196 162
388 192 178
294 168 64
75 223 93
42 160 119
216 265 135
396 233 163
76 410 86
60 337 76
104 327 55
188 308 105
284 32 48
382 319 7
264 393 180
298 233 171
204 360 109
314 393 121
74 192 169
118 189 17
240 233 4
125 410 7
423 298 57
63 61 151
249 239 150
182 379 175
19 136 168
435 423 43
358 410 65
415 204 73
445 72 24
64 337 25
170 42 159
295 165 92
343 208 36
183 104 194
230 415 17
256 91 93
33 112 29
22 358 11
106 83 42
7 33 120
270 239 159
62 22 96
245 435 89
351 360 132
455 158 166
142 75 87
177 161 177
376 183 60
411 73 121
353 158 96
310 272 140
187 426 148
197 66 27
282 117 117
207 282 164
375 410 28
115 75 87
331 210 148
133 272 134
67 233 174
164 62 175
259 325 109
283 460 16
247 60 2
215 37 10
5 126 71
305 388 176
257 56 61
352 384 184
12 65 105
148 256 6
184 249 173
70 106 10
202 327 3
414 410 75
271 19 92
46 7 33
71 41 93
302 254 137
407 65 56
443 64 79
304 208 26
237 112 114
35 173 144
145 61 174
6 376 166
141 305 135
433 126 33
317 61 2
458 254 130
373 247 28
418 208 172
269 109 184
299 331 4
338 254 122
38 104 40
180 378 153
334 158 82
234 32 148
55 410 113
309 299 172
340 55 77
397 89 67
391 5 79
402 410 50
4 460 121
307 152 56
348 197 50
211 76 129
425 223 52
81 375 93
444 112 133
438 288 14
385 127 122
129 65 52
10 256 14
364 177 19
248 74 24
57 189 168
395 161 13
86 402 106
97 455 19
69 314 111
99 66 163
186 384 17
409 243 116
341 239 40
28 378 52
107 72 195
220 391 62
329 433 193
267 163 19
452 221 68
316 104 74
108 127 175
315 382 98
328 376 28
293 375 119
79 433 104
342 65 123
390 106 195
422 331 50
434 249 62
369 267 15
403 188 141
244 337 144
377 60 9
266 244 106
291 184 193
279 210 102
226 402 57
260 380 116
128 89 106
387 61 129
27 249 187
312 455 174
29 240 129
251 85 193
194 71 2
130 358 129
156 112 82
318 374 38
424 164 40
157 336 91
231 187 193
349 460 153
185 244 186
332 208 19
34 24 94
253 3 96
45 142 74
242 307 142
371 34 10
162 251 156
357 239 144
367 180 156
303 35 95
306 174 182
313 257 170
135 83 15
77 120 91
94 385 172
447 106 139
50 414 166
150 295 161
159 397 164
252 402 71
2 318 9
421 202 65
214 226 13
285 337 39
209 230 198
172 183 39
432 288 35
191 91 60
268 294 2
218 233 133
281 433 69
437 160 83
51 77 124
59 256 161
43 112 165
23 184 133
154 115 98
153 234 31
13 4 30
222 376 198
345 268 196
448 318 22
356 168 100
365 247 133
324 332 147
224 74 167
169 158 24
217 270 138
290 127 71
200 237 178
122 304 59
439 390 84
102 189 87
275 161 158
392 126 113
286 3 157
124 72 56
292 80 37
147 80 41
229 319 56
181 244 53
155 391 181
449 153 116
15 37 164
121 325 181
456 234 70
113 317 46
398 43 26
361 247 9
427 294 110
436 294 130
78 61 94
58 216 131
123 256 75
8 325 169
457 123 147
199 234 117
413 170 30
359 159 118
203 444 169
137 312 157
238 312 30
408 27 181
167 268 67
119 418 145
90 374 23
54 329 85
453 311 1
190 317 30
399 10 154
442 220 100
386 211 60
404 152 39
227 337 69
96 448 78
48 203 126
16 61 39
289 73 46
212 414 143
405 159 157
93 239 120
420 112 1
31 434 31
276 93 179
454 238 178
274 4 56
350 142 25
52 334 155
111 311 194
406 61 84
412 313 62
232 411 195
346 387 142
179 325 24
175 69 115
149 360 102
39 77 194
195 411 127
339 222 185
394 61 12
297 410 61
92 190 129
333 405 71
354 305 193
47 31 78
446 4 156
49 237 2
213 266 142
246 33 35
321 240 109
261 157 177
280 420 33
366 404 133
347 394 197
17 23 114
178 311 60
326 342 154
171 232 53
26 77 18
451 62 158
250 392 101
44 354 40
53 171 127
36 130 32
355 275 21
400 294 174
1 340 1
416 136 194
140 246 85
401 259 52
323 93 104
25 272 121
440 369 53
381 391 103
450 150 164
88 450 118
18 119 147
82 353 67
198 340 130
372 436 17
114 24 150
383 440 107
101 29 7
151 231 127
95 93 57
273 382 124
228 457 57
144 18 138
143 253 57
201 189 30
30 61 142
335 334 175
205 239 64
68 82 185
138 399 175
258 367 86
417 129 158
296 412 157
131 257 159
344 99 187
103 400 28
21 331 119
322 151 166
431 228 198
277 188 40
11 238 151
219 415 152
87 365 29
132 299 133
100 431 192
40 95 97
370 382 57
110 334 54
20 399 16
419 15 86
105 277 134
300 280 89
362 96 17
441 58 122
301 55 26
236 246 127
320 423 122
139 311 50
98 215 66
225 437 60
254 388 21
84 400 165
14 233 163
368 168 134
263 277 175
235 217 16
0 0 0
